pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
530;W;3;4;3;CHAIDEE Duangaksorn;11.08.1997;THA;p87;113.70;120;125;129;129;162;167;---;167;296;2018 IWF World Championships;11.2018
531;W;4;3;4;KIM Kuk Hyang;20.04.1993;PRK;p87;97.64;123;126;130;130;160;165;---;165;295;2018 IWF World Championships;11.2018
532;W;5;5;5;ROBLES Sarah Elizabeth;01.08.1988;USA;p87;143.06;120;125;128;128;154;159;162;162;290;2018 IWF World Championships;11.2018
533;W;6;6;6;PULSABSAKUL Chitchanok;04.11.1993;THA;p87;121.11;120;125;127;127;144;147;153;153;280;2018 IWF World Championships;11.2018
534;W;7;9;7;LEE Huisol;27.08.1989;KOR;p87;118.26;115;120;---;120;---;145;152;152;272;2018 IWF World Championships;11.2018
535;W;8;10;10;LYSENKO Anastasiia;02.12.1995;UKR;p87;102.80;115;---;119;119;140;145;148;148;267;2018 IWF World Championships;11.2018
536;W;9;11;9;HARIDY Shaimaa Ahmed Khalaf;01.01.1991;EGY;p87;127.54;110;115;117;117;150;---;---;150;267;2018 IWF World Championships;11.2018
537;W;10;13;8;SON Younghee;24.04.1993;KOR;p87;112.51;---;115;---;115;152;---;---;152;267;2018 IWF World Championships;11.2018
538;W;11;8;12;MASCORRO OSUNA Tania Guadalupe;24.11.1988;MEX;p87;109.43;118;121;---;121;---;---;145;145;266;2018 IWF World Championships;11.2018
539;W;12;7;14;SALADIN TOLENTINO Veronica Estela;21.05.1992;DOM;p87;125.26;118;122;---;122;142;---;---;142;264;2018 IWF World Championships;11.2018
540;W;13;12;16;AYOVI CABEZAS Lisseth Betzaida;07.08.1998;ECU;p87;122.41;110;---;116;116;140;---;---;140;256;2018 IWF World Championships;11.2018
541;W;14;18;11;AKMAL Nurul;12.02.1993;INA;p87;108.66;105;---;---;105;138;143;146;146;251;2018 IWF World Championships;11.2018
542;W;15;16;13;SIPAIA Iuniarra;25.06.1993;SAM;p87;127.22;102;107;---;107;135;140;143;143;250;2018 IWF World Championships;11.2018
543;W;16;14;15;CAMPBELL Emily Jade;06.05.1994;GBR;p87;115.76;104;108;---;108;136;140;---;140;248;2018 IWF World Championships;11.2018
544;W;17;17;18;ABORNEVA Alexandra;30.10.1986;KAZ;p87;114.45;100;105;---;105;130;---;135;135;240;2018 IWF World Championships;11.2018
545;W;18;21;17;DALALYAN Arpine;18.02.1999;ARM;p87;116.82;94;97;101;101;130;138;---;138;239;2018 IWF World Championships;11.2018
546;W;19;15;20;MUPTILDA Aizada;23.04.1998;KAZ;p87;120.56;100;105;108;108;130;---;---;130;238;2018 IWF World Championships;11.2018
547;W;20;19;21;MIERZEJEWSKA Aleksandra Emilia;05.03.1992;POL;p87;142.14;100;---;105;105;125;130;---;130;235;2018 IWF World Championships;11.2018
548;W;21;20;23;KAROLAK Magdalena;01.06.1999;POL;p87;123.29;100;104;---;104;127;---;---;127;231;2018 IWF World Championships;11.2018
549;W;22;24;19;ZENG Ya-Li;28.11.1998;TPE;p87;127.46;90;---;95;95;125;130;134;134;229;2018 IWF World Championships;11.2018
550;W;23;23;22;MANUMUA Kuinini Juanita Mechteld;12.12.2000;TGA;p87;107.55;---;---;98;98;125;129;---;129;227;2018 IWF World Championships;11.2018
551;W;24;22;24;GUNAL Melike;05.04.1998;TUR;p87;111.96;95;---;100;100;123;---;---;123;223;2018 IWF World Championships;11.2018
552;W;25;25;25;KRALOVA Tereza;22.10.1989;CZE;p87;92.85;76;---;---;76;87;91;94;94;170;2018 IWF World Championships;11.2018
553;M;1;1;1;TALAKHADZE Lasha;02.10.1993;GEO;p109;169.31;207;212;217;217;245;252;257;257;474;2018 IWF World Championships;11.2018
554;M;2;2;2;MINASYAN Gor;25.10.1994;ARM;p109;149.50;200;205;---;205;240;245;---;245;450;2018 IWF World Championships;11.2018
555;M;3;4;3;DJANGABAEV Rustam;25.08.1993;UZB;p109;149.49;195;---;202;202;236;---;245;245;447;2018 IWF World Championships;11.2018
556;M;4;5;5;SARAIVA REIS Fernando;10.03.1990;BRA;p109;153.22;193;198;201;201;235;---;---;235;436;2018 IWF World Championships;11.2018
557;M;5;8;7;ALBEGOV Ruslan;26.01.1988;RUS;p109;155.36;191;---;197;197;235;---;---;235;432;2018 IWF World Championships;11.2018
558;M;6;10;6;SEIM Mart;24.10.1990;EST;p109;155.63;185;192;---;192;235;---;---;235;427;2018 IWF World Championships;11.2018
559;M;7;12;4;TOYCHYYEV Hojamuhammet;16.01.1992;TKM;p109;148.82;---;187;---;187;235;240;---;240;427;2018 IWF World Championships;11.2018
560;M;8;7;10;DAVOUDI Ali;22.03.1999;IRI;p109;161.04;185;192;197;197;227;---;---;227;424;2018 IWF World Championships;11.2018
561;M;9;9;9;ZIAZIULIN Eduard;29.10.1998;BLR;p109;134.83;189;---;193;193;222;228;---;228;421;2018 IWF World Championships;11.2018
562;M;10;11;11;NAGY Peter;16.01.1986;HUN;p109;158.05;182;---;187;187;220;226;---;226;413;2018 IWF World Championships;11.2018
563;M;11;16;8;KUCERA Kamil;19.03.1985;CZE;p109;147.63;178;---;---;178;220;225;232;232;410;2018 IWF World Championships;11.2018
564;M;12;15;14;WILKES Caine Morgan;10.07.1987;USA;p109;142.38;175;180;---;180;212;220;---;220;400;2018 IWF World Championships;11.2018
565;M;13;21;12;LITI David Andrew;11.07.1996;NZL;p109;166.05;161;165;169;169;220;226;---;226;395;2018 IWF World Championships;11.2018
566;M;14;17;16;MZHACHYK Aliaksei;30.06.1996;BLR;p109;139.92;175;---;---;175;210;---;215;215;390;2018 IWF World Championships;11.2018
567;M;15;25;13;COULLET Anthony Jean Pierre;10.01.1997;FRA;p109;143.32;---;160;165;165;213;217;221;221;386;2018 IWF World Championships;11.2018
568;M;16;24;15;KAJDOCI Tamas;21.04.1997;SRB;p109;141.07;165;---;---;165;---;215;218;218;383;2018 IWF World Championships;11.2018
569;M;17;19;18;GURDEEP Singh;01.10.1995;IND;p109;156.20;165;171;---;171;---;210;---;210;381;2018 IWF World Championships;11.2018
570;M;18;18;21;LITVINOV David;23.09.1993;ISR;p109;119.39;170;175;---;175;200;205;---;205;380;2018 IWF World Championships;11.2018
571;M;19;22;17;WITTE Keiser Andrew;15.03.1995;USA;p109;134.09;160;---;166;166;200;211;---;211;377;2018 IWF World Championships;11.2018
572;M;20;20;20;SALAS MANGUIS Fernando Fabricio;10.02.1988;ECU;p109;166.39;158;165;171;171;198;205;---;205;376;2018 IWF World Championships;11.2018
573;M;21;23;19;SLOBODIANIUK Oleg;10.04.1988;UKR;p109;156.82;161;166;---;166;210;---;---;210;376;2018 IWF World Championships;11.2018
574;M;22;26;22;HSIEH Yun-Ting;08.08.1999;TPE;p109;124.63;150;---;160;160;180;190;200;200;360;2018 IWF World Championships;11.2018
575;M;23;27;23;TOLLEFSEN Kim Eirik;24.12.1989;NOR;p109;118.31;---;---;156;156;190;195;---;195;351;2018 IWF World Championships;11.2018
576;M;24;28;24;SAILAU Yerdos;10.07.1994;KAZ;p109;139.21;147;152;---;152;185;190;194;194;346;2018 IWF World Championships;11.2018
577;M;25;29;25;ROININEN Teemu Tapio;10.07.1986;FIN;p109;143.11;148;152;---;152;---;193;---;193;345;2018 IWF World Championships;11.2018
578;M;---;3;---;TURMANIDZE Irakli;13.12.1984;GEO;p109;136.71;195;200;203;203;---;---;---;---;0;2018 IWF World Championships;11.2018
579;M;---;6;---;BIDANI Walid;11.06.1994;ALG;p109;134.91;190;197;---;197;---;---;---;---;0;2018 IWF World Championships;11.2018
580;M;---;13;---;LAURET RODRIGUEZ Luis Manuel;20.01.1997;CUB;p109;119.07;173;180;183;183;---;---;---;---;0;2018 IWF World Championships;11.2018
581;M;---;14;---;VELAGIC Almir;22.08.1981;GER;p109;144.60;180;---;---;180;---;---;---;---;0;2018 IWF World Championships;11.2018
